Date,Salesperson,Customer,Car Make,Car Year,Original manufacture sale,Car Tax rate,Gov Income,Profit Rate,Profit Income,Sale Price,Commission Rate,Commission Earned,Company Revenue
4/28/2009,Jessica Brown,Customer_65768,Ford,2018,64831.872,0.15,9724.7808,0.25,18639.1632,93195.82,0.12,11183.49792,17180.45008
9/11/2009,Karen Green,Customer_65779,Ford,2022,26817.12,0.15,4022.568,0.25,7709.922,38549.61,0.1,3854.961,7877.529
2/1/2009,James Miller,Customer_65782,Chevrolet,2022,24515.088,0.15,3677.2632,0.25,7048.0878,35240.44,0.04,1409.61756,9315.73444
5/25/2009,Barbara Garcia,Customer_65841,Honda,2016,16781.856,0.15,2517.2784,0.25,4824.7836,24123.92,0.12,2894.87016,4447.19384
3/31/2009,Jessica Brown,Customer_65906,Toyota,2017,15936.366,0.15,2390.4549,0.25,4581.705225,22908.53,0.03,687.2557838,6284.908216
9/5/2009,Jessica Brown,Customer_65922,BMW,2020,40351.692,0.15,6052.7538,0.25,11601.11145,58005.56,0.03,1740.166718,15913.70128
11/20/2009,Anthony Hernandez,Customer_65943,Chevrolet,2019,20663.13,0.15,3099.4695,0.25,5940.649875,29703.25,0.09,2673.292444,6366.827556
5/25/2009,Daniel Taylor,Customer_65963,Lamborghini,2023,193512.06,0.15,29026.809,0.25,55634.71725,278173.59,0.05,13908.67931,70752.85069
1/20/2009,Margaret Lopez,Customer_65969,Nissan,2021,28937.712,0.15,4340.6568,0.25,8319.5922,41597.96,0.01,415.97961,12244.26839
7/14/2009,Dorothy Hall,Customer_65978,Honda,2020,21518.016,0.15,3227.7024,0.25,6186.4296,30932.15,0.04,1237.28592,8176.84808
8/30/2009,Matthew White,Customer_65980,Honda,2018,23663.556,0.15,3549.5334,0.25,6803.27235,34016.36,0.13,4422.127028,5930.676972
6/20/2009,Dorothy Hall,Customer_65998,Ford,2021,65828.16,0.15,9874.224,0.25,18925.596,94627.98,0.14,13247.9172,15551.9028
6/30/2009,Joseph Scott,Customer_66018,BMW,2015,37343.286,0.15,5601.4929,0.25,10736.19473,53680.97,0.11,5904.907099,10432.7769
6/2/2009,William Young,Customer_66069,Honda,2020,23930.772,0.15,3589.6158,0.25,6880.09695,34400.48,0.06,2064.029085,8405.678915
4/27/2009,Dorothy Hall,Customer_66106,Toyota,2017,24846.588,0.15,3726.9882,0.25,7143.39405,35716.97,0.02,714.339405,10156.0426
9/12/2009,Barbara Garcia,Customer_66122,Toyota,2017,20067.264,0.15,3010.0896,0.25,5769.3384,28846.69,0.12,3461.60304,5317.82296
8/9/2009,Kevin Lewis,Customer_66126,Nissan,2018,33074.82,0.15,4961.223,0.25,9509.01075,47545.05,0.14,6656.307525,7813.922475
8/7/2009,Karen Green,Customer_66147,Mazda,2020,16823.826,0.15,2523.5739,0.25,4836.849975,24184.25,0.11,2660.267486,4700.156514
6/4/2009,Sandra Moore,Customer_66168,Chevrolet,2018,27973.77,0.15,4196.0655,0.25,8042.458875,40212.29,0.03,1206.368831,11032.15117
3/27/2009,John Smith,Customer_66174,Honda,2018,21553.56,0.15,3233.034,0.25,6196.6485,30983.24,0.05,1549.162125,7880.517875
10/14/2009,Susan Martinez,Customer_66197,Toyota,2021,24938.772,0.15,3740.8158,0.25,7169.89695,35849.48,0.03,1075.484543,9835.223457
12/28/2009,Edward Adams,Customer_66214,Tesla,2024,46195.092,0.15,6929.2638,0.25,13281.08895,66405.44,0.11,7304.598923,12905.74908
8/21/2009,Michael Jones,Customer_66221,BMW,2017,61902.624,0.15,9285.3936,0.25,17797.0044,88985.02,0.12,10678.20264,16404.19336
8/14/2009,James Miller,Customer_66224,Honda,2016,22695.762,0.15,3404.3643,0.25,6525.031575,32625.16,0.09,2936.264209,6993.133791
11/6/2009,Edward Adams,Customer_66232,Toyota,2016,15879.51,0.15,2381.9265,0.25,4565.359125,22826.8,0.03,684.8038688,6262.486131
8/27/2009,Margaret Lopez,Customer_66248,Ford,2021,37945.224,0.15,5691.7836,0.25,10909.2519,54546.26,0.02,1090.92519,15510.11081
8/3/2009,Margaret Lopez,Customer_66251,Mazda,2020,14503.482,0.15,2175.5223,0.25,4169.751075,20848.76,0.11,2293.363091,4051.914909
9/10/2009,Joseph Scott,Customer_66264,Toyota,2023,13289.22,0.15,1993.383,0.25,3820.65075,19103.25,0.06,1146.195225,4667.834775
9/16/2009,Karen Green,Customer_66270,Toyota,2017,25837.344,0.15,3875.6016,0.25,7428.2364,37141.18,0.04,1485.64728,9818.18872
7/28/2009,Michael Jones,Customer_66279,Mazda,2016,14246.136,0.15,2136.9204,0.25,4095.7641,20478.82,0.13,2662.246665,3570.437335
10/12/2009,David Williams,Customer_66299,Tesla,2018,32548.752,0.15,4882.3128,0.25,9357.7662,46788.83,0.11,5146.77141,9093.30659
6/13/2009,Nancy King,Customer_66301,Toyota,2021,26549.376,0.15,3982.4064,0.25,7632.9456,38164.73,0.12,4579.76736,7035.58664
1/2/2009,Nancy King,Customer_66302,Lamborghini,2023,324926.112,0.15,48738.9168,0.25,93416.2572,467081.29,0.12,56049.75432,86105.42368
5/6/2009,James Miller,Customer_66304,BMW,2016,36349.56,0.15,5452.434,0.25,10450.4985,52252.49,0.08,4180.1994,11722.7306
2/18/2009,Patricia Wilson,Customer_66306,Honda,2016,15208.362,0.15,2281.2543,0.25,4372.404075,21862.02,0.03,655.8606113,5997.797389
11/12/2009,Jessica Brown,Customer_66327,Toyota,2022,26189.28,0.15,3928.392,0.25,7529.418,37647.09,0.04,1505.8836,9951.9264
3/7/2009,David Williams,Customer_66329,Ford,2023,50253.06,0.15,7537.959,0.25,14447.75475,72238.77,0.1,7223.877375,14761.83263
8/14/2009,Edward Adams,Customer_66332,Toyota,2022,22871.472,0.15,3430.7208,0.25,6575.5482,32877.74,0.04,1315.10964,8691.15836
6/17/2009,Michael Jones,Customer_66343,Honda,2023,27925.26,0.15,4188.789,0.25,8028.51225,40142.56,0.1,4014.256125,8203.043875
8/21/2009,Sandra Moore,Customer_66344,Ford,2021,39678.456,0.15,5951.7684,0.25,11407.5561,57037.78,0.01,570.377805,16788.9462
8/15/2009,Kevin Lewis,Customer_66363,Ford,2016,60599.844,0.15,9089.9766,0.25,17422.45515,87112.28,0.03,2613.368273,23899.06773
2/28/2009,Donna Lee,Customer_66389,Nissan,2024,30459.87,0.15,4568.9805,0.25,8757.212625,43786.06,0.05,2189.303156,11136.88684
